PRN   Amplitude
1     1.2465
2     3.6148
3     1.1749
4     1.2153
5     2.59
6     3.128
7     3.0633
8     1.1507
9     2.9887
10     3.6488
11     1.0381
12     2.9291
13     1.3516
14     1.2401
15     2.504
16     1.117
17     1.0425
18     2.6682
19     1.3177
20     1.2586
21     1.2709
22     1.1199
23     1.317
24     3.1864
25     1.314
26     3.7137
27     1.056
28     1.3358
29     1.1415
30     3.414
31     1.3234
32     1.1964
