PRN   Amplitude
1     1.1612
2     2.7066
3     1.2211
4     1.2873
5     2.5532
6     2.6296
7     1.9136
8     1.1359
9     2.3963
10     3.6791
11     1.1431
12     2.1772
13     1.1833
14     1.2507
15     2.4202
16     1.2236
17     1.229
18     2.0736
19     1.1763
20     1.001
21     1.1937
22     1.2714
23     1.1529
24     2.7402
25     1.2198
26     2.9541
27     1.2643
28     1.2253
29     1.2872
30     2.5513
31     1.137
32     1.2618
