PRN   Amplitude
1     1.0994
2     3.486
3     1.196
4     1.2038
5     3.3602
6     3.5453
7     2.3209
8     1.0862
9     2.9521
10     3.592
11     1.1195
12     2.4143
13     1.0363
14     1.1843
15     2.2405
16     1.1452
17     1.1583
18     2.4487
19     1.046
20     1.2845
21     1.0619
22     1.1908
23     1.2066
24     2.7469
25     1.2712
26     2.6578
27     1.14
28     1.2712
29     1.0259
30     3.198
31     1.1223
32     1.3659
