PRN   Amplitude
1     1.123
2     3.4193
3     1.0872
4     1.2839
5     2.7029
6     2.8733
7     2.4854
8     1.0701
9     3.0639
10     3.4673
11     1.0714
12     2.4935
13     1.3423
14     1.1558
15     2.4261
16     1.2476
17     1.234
18     2.0291
19     1.3204
20     1.2561
21     1.1513
22     1.0852
23     1.264
24     3.0557
25     1.1593
26     3.3993
27     1.1238
28     1.1692
29     1.3253
30     2.7601
31     1.2172
32     1.138
