PRN   Amplitude
1     1.1474
2     3.4407
3     1.1638
4     1.2391
5     3.5012
6     3.3444
7     2.9078
8     1.0731
9     3.2578
10     4.403
11     1.167
12     2.3654
13     1.3282
14     1.202
15     2.8784
16     1.2746
17     1.1873
18     2.4895
19     1.2646
20     1.0159
21     1.02
22     1.2315
23     1.2389
24     3.0129
25     1.3033
26     2.9002
27     1.2449
28     1.2193
29     1.3092
30     2.9373
31     1.211
32     1.2175
