PRN   Amplitude
1     1.2026
2     3.486
3     1.3385
4     1.2746
5     2.2239
6     3.5398
7     2.5967
8     1.0613
9     2.9811
10     3.7441
11     1.1925
12     2.3426
13     1.0204
14     1.0444
15     2.6029
16     1.112
17     1.2432
18     2.2663
19     1.1146
20     1.0936
21     1.2998
22     1.1358
23     1.0451
24     2.7546
25     1.4784
26     3.0195
27     1.1526
28     1.2421
29     1.1161
30     3.432
31     1.1849
32     1.1552
