PRN   Amplitude
1     1.1793
2     2.54
3     1.164
4     1.2505
5     2.1188
6     2.4196
7     2.8907
8     1.0801
9     2.5253
10     2.4405
11     1.1898
12     2.3104
13     1.1647
14     1.2509
15     2.2553
16     1.0831
17     1.1403
18     1.927
19     1.1947
20     1.0182
21     1.1533
22     1.1885
23     1.3682
24     2.4515
25     1.2642
26     2.7308
27     1.1477
28     1.3237
29     1.093
30     3.0043
31     1.1551
32     1.3206
