PRN   Amplitude
1     1.0535
2     3.7096
3     1.3429
4     1.13
5     3.1626
6     2.9103
7     2.8956
8     1.122
9     3.0588
10     4.2516
11     1.1342
12     2.4208
13     1.2181
14     1.0775
15     3.1109
16     1.193
17     1.265
18     2.4203
19     1.2053
20     1.2142
21     1.2827
22     1.3761
23     1.1299
24     2.9043
25     1.3579
26     3.1342
27     1.4556
28     1.2008
29     1.2032
30     3.3188
31     1.137
32     1.0931
