PRN   Amplitude
1     1.2084
2     2.6328
3     1.3718
4     1.0831
5     1.6988
6     2.9481
7     2.5109
8     1.0962
9     2.8624
10     3.2164
11     1.3161
12     1.9586
13     1.1456
14     1.3281
15     3.3576
16     1.2296
17     1.0989
18     2.2822
19     1.269
20     1.0762
21     1.1978
22     1.2406
23     1.2417
24     2.9366
25     1.271
26     3.2761
27     1.4394
28     1.2457
29     1.2194
30     3.0377
31     1.117
32     1.1224
