PRN   Amplitude
1     1.3782
2     3.0589
3     1.2349
4     1.1751
5     3.3044
6     2.822
7     2.6409
8     1.0294
9     2.6488
10     3.675
11     1.2782
12     3.0914
13     1.0876
14     1.1821
15     2.8463
16     1.3134
17     1.287
18     2.5626
19     1.2564
20     1.0977
21     1.2558
22     1.2843
23     1.167
24     3.3692
25     1.1177
26     3.0618
27     1.1857
28     1.0771
29     1.248
30     2.8254
31     1.1544
32     1.0099
