PRN   Amplitude
1     1.2447
2     3.6849
3     1.2684
4     1.2159
5     2.7575
6     3.2629
7     2.5656
8     1.1549
9     2.7942
10     2.7145
11     1.0365
12     2.6527
13     1.2355
14     1.2129
15     2.1636
16     1.2579
17     1.2378
18     2.4933
19     1.1502
20     1.0336
21     1.2853
22     1.1046
23     1.3202
24     3.3344
25     1.2003
26     3.769
27     1.1994
28     1.2492
29     1.1172
30     2.8402
31     1.0323
32     1.1834
