PRN   Amplitude
1     1.1473
2     3.3036
3     1.208
4     1.255
5     3.0264
6     2.8793
7     2.9432
8     1.1444
9     2.5133
10     3.6628
11     1.1625
12     2.6378
13     1.1217
14     1.1434
15     2.1094
16     1.3077
17     1.0696
18     2.1649
19     1.2403
20     1.457
21     1.1018
22     1.2837
23     1.2599
24     2.7302
25     1.0095
26     2.8483
27     1.2736
28     1.1425
29     1.1769
30     3.0368
31     1.2156
32     1.0522
