PRN   Amplitude
1     1.0801
2     3.1254
3     1.1681
4     1.2756
5     3.1402
6     3.4898
7     2.7311
8     1.1462
9     3.0495
10     4.0029
11     1.2704
12     2.2823
13     1.2073
14     1.1057
15     2.9062
16     1.2293
17     1.0807
18     2.4433
19     1.3938
20     1.2638
21     1.0592
22     1.1038
23     1.1478
24     3.4992
25     1.29
26     3.4641
27     1.0383
28     1.128
29     1.3429
30     2.5178
31     1.1619
32     1.1296
