PRN   Amplitude
1     1.0555
2     2.9344
3     1.1572
4     1.0891
5     2.5201
6     2.7807
7     2.1655
8     1.0795
9     2.7472
10     3.3547
11     1.152
12     2.4582
13     1.1304
14     1.1724
15     2.6545
16     1.0432
17     1.2523
18     2.3619
19     1.2658
20     1.15
21     1.1097
22     1.4019
23     1.1592
24     2.8054
25     1.1203
26     3.0248
27     1.1548
28     1.0643
29     1.3366
30     3.0029
31     1.1739
32     1.2859
