PRN   Amplitude
1     1.1892
2     3.8488
3     1.1358
4     1.3438
5     2.223
6     3.2542
7     2.7559
8     1.2001
9     2.5623
10     3.7799
11     1.3048
12     1.9103
13     1.213
14     1.2386
15     2.9058
16     1.3039
17     1.0337
18     2.227
19     1.2151
20     1.1929
21     1.0197
22     1.1172
23     1.1823
24     3.2534
25     1.2101
26     3.1275
27     1.0609
28     1.2109
29     1.1532
30     3.0121
31     1.2067
32     1.2658
